"","wgcna_module_name","gene","annotation"
"1","cyan","TRIOBP","Leukocyte Migration"
"2","cyan","CKLF-CMTM1","Leukocyte Migration"
"3","cyan","MGST2","Leukocyte Migration"
"4","cyan","BRI3BP","Leukocyte Migration"
"5","cyan","LRRC4","Leukocyte Migration"
"6","cyan","ABHD14B","Leukocyte Migration"
"7","cyan","DAP","Leukocyte Migration"
"8","cyan","ACADS","Leukocyte Migration"
"9","cyan","ORAI1","Leukocyte Migration"
"10","cyan","HAUS4","Leukocyte Migration"
"11","cyan","KCNG2","Leukocyte Migration"
"12","cyan","FAM110A","Leukocyte Migration"
"13","cyan","ZNRD1","Leukocyte Migration"
"14","cyan","RENBP","Leukocyte Migration"
"15","cyan","HIST1H2AG","Leukocyte Migration"
"16","cyan","RPL13AP20","Leukocyte Migration"
"17","cyan","PPIH","Leukocyte Migration"
"18","cyan","HSD17B8","Leukocyte Migration"
"19","cyan","CYBA","Leukocyte Migration"
"20","cyan","MFNG","Leukocyte Migration"
"21","cyan","FAH","Leukocyte Migration"
"22","cyan","HIST1H2AL","Leukocyte Migration"
"23","cyan","GAS6","Leukocyte Migration"
"24","cyan","DPEP3","Leukocyte Migration"
"25","cyan","SDCCAG3","Leukocyte Migration"
"26","cyan","CD63","Leukocyte Migration"
"27","cyan","DCST1-AS1","Leukocyte Migration"
"28","cyan","RNA45SN2","Leukocyte Migration"
"29","cyan","LMAN2","Leukocyte Migration"
"30","cyan","ARHGAP9","Leukocyte Migration"
"31","cyan","LOC105371730","Leukocyte Migration"
"32","cyan","MAF1","Leukocyte Migration"
"33","cyan","SDF4","Leukocyte Migration"
"34","cyan","POLD1","Leukocyte Migration"
"35","cyan","APOBEC3C","Leukocyte Migration"
"36","cyan","QPRT","Leukocyte Migration"
"37","cyan","ACP5","Leukocyte Migration"
"38","cyan","GPR35","Leukocyte Migration"
"39","cyan","IGFLR1","Leukocyte Migration"
"40","cyan","NEU1","Leukocyte Migration"
"41","cyan","HSCB","Leukocyte Migration"
"42","cyan","TOR3A","Leukocyte Migration"
"43","cyan","HIST1H2BM","Leukocyte Migration"
"44","cyan","ITGAD","Leukocyte Migration"
"45","cyan","FOLR2","Leukocyte Migration"
"46","cyan","SOWAHD","Leukocyte Migration"
"47","cyan","CMC1","Leukocyte Migration"
"48","cyan","TRPT1","Leukocyte Migration"
"49","cyan","CD300LF","Leukocyte Migration"
"50","cyan","RGS10","Leukocyte Migration"
"51","cyan","AGTRAP","Leukocyte Migration"
"52","cyan","OXLD1","Leukocyte Migration"
